order_id,customer_name,product,quantity,unit_price,region,order_date,shipping_cost,discount_percent,total_revenue
1,Uma Brown,Phone,7.0,991.97,South,,15.06,3.1,6728.53
2,Alice Rodriguez,Keyboard,4.0,,North,2021-06-20,48.35,18.3,4187.52
3,Henry Davis,,8.0,1003.54,North,2023-03-25,5.55,23.5,6141.66
4,Eve Brown,Laptop,5.0,874.05,North,2024-11-29,48.64,4.5,4173.59
5,Victor Moore,Laptop,,185.83,,,6.94,1.7,
6,Charlie Jackson,Keyboard,3.0,583.19,South,2021-05-12,45.1,18.5,1425.9
7,Noah Johnson,Monitor,,434.54,,,28.75,14.4,2603.76
8,Alice Williams,Tablet,,403.78,South,,49.68,21.0,2551.89
9,Grace Davis,Mouse,,1460.87,South,2021-10-10,8.32,3.5,7048.7
10,,Tablet,,,,,29.92,19.9,1986.45
11,,Monitor,8.0,,West,,48.62,5.0,10210.37
12,Grace Moore,Keyboard,8.0,,North,2020-02-26,,4.1,7404.63
13,,Keyboard,3.0,1202.48,,,33.32,4.1,3459.53
14,Olivia Jackson,Laptop,6.0,778.82,West,2021-01-16,36.31,,3719.64
15,Ivy Smith,Monitor,5.0,886.51,East,2022-07-09,25.45,16.6,3696.75
16,Yara Garcia,Keyboard,2.0,764.15,East,2021-04-09,33.24,,1328.09
17,Wendy Wilson,,,333.1,,,31.29,,2424.97
18,Kelly Rodriguez,,,,North,2021-04-26,45.55,,
19,,,2.0,457.12,,2021-09-22,,9.8,824.64
20,Yara Hernandez,,5.0,85.26,,2025-08-03,,20.4,
21,,Monitor,1.0,985.93,North,,,11.0,877.48
22,Mia Brown,Laptop,6.0,306.81,North,2025-09-15,45.06,9.4,1667.82
23,Liam Lopez,Keyboard,9.0,1413.66,East,,,11.6,11247.08
24,Tina Rodriguez,Keyboard,1.0,,West,2024-08-28,,7.5,
25,Zack Johnson,Mouse,3.0,1376.55,West,,17.48,18.7,
26,Xavier Anderson,,7.0,586.73,South,2025-04-18,13.47,12.6,3589.61
27,Rachel Brown,Mouse,4.0,72.41,North,2022-09-25,25.87,5.8,272.84
28,Mia Williams,Mouse,9.0,1396.06,South,,20.9,22.5,9737.52
29,,Mouse,3.0,670.87,North,2026-03-07,31.26,9.6,1819.4
30,Uma Martin,Phone,5.0,1451.65,East,,8.5,13.6,6271.13
31,,Tablet,3.0,1447.25,,2024-04-20,48.85,22.7,3356.17
32,,Monitor,7.0,,,2022-02-19,49.38,15.6,7602.77
33,Bob Davis,,5.0,476.95,East,,,2.9,2315.59
34,,,9.0,608.39,West,,29.12,23.5,
35,,,7.0,1284.15,East,2020-10-12,18.93,15.7,7577.77
36,,Keyboard,,509.54,North,2023-02-05,41.62,8.4,933.48
37,Ivy Anderson,,4.0,295.76,East,2024-08-26,35.81,,1141.63
38,Uma Lopez,Mouse,9.0,857.36,,2023-10-24,,19.9,6180.71
39,Frank Lopez,Laptop,2.0,1407.42,West,2025-09-10,45.99,,2378.54
40,Liam Miller,Mouse,,1059.24,West,2022-12-30,42.01,13.3,8265.25
41,Victor Rodriguez,Tablet,5.0,876.59,North,2020-01-11,47.74,,3405.55
42,Wendy Williams,Keyboard,2.0,190.91,West,,37.66,19.7,306.6
43,Tina Garcia,Tablet,4.0,941.76,East,2023-05-07,32.6,,3623.89
44,Rachel Davis,Mouse,7.0,1485.58,West,,23.82,,9587.93
45,Frank Anderson,Monitor,,253.12,South,2021-08-31,46.97,6.2,1899.41
46,Mia Rodriguez,Tablet,3.0,801.58,West,2025-01-03,43.97,,1957.46
47,Uma Moore,Monitor,,1322.19,South,2026-01-15,7.03,0.8,1311.61
48,Henry Hernandez,,4.0,1124.11,East,2025-06-06,6.19,14.2,3857.95
49,Yara Johnson,Tablet,,1060.67,West,2023-11-14,21.94,19.1,1716.16
50,Henry Johnson,Keyboard,8.0,,West,,41.47,21.9,6676.61
51,Zack Hernandez,Phone,,571.26,West,2026-02-03,49.43,8.6,
52,,,2.0,475.71,East,2024-03-25,11.77,20.5,756.38
53,Charlie Miller,Monitor,6.0,1223.57,East,2025-02-08,31.74,2.8,7135.86
54,Sam Hernandez,Mouse,6.0,,South,2023-08-11,22.14,21.2,5790.19
55,Grace Thomas,Monitor,,1307.25,,2022-02-11,48.65,3.2,5061.67
56,Mia Anderson,Mouse,,1374.2,East,,,9.9,
57,,Mouse,0.07646464702025395,791.45,West,,3490.5629085986293,19.9,1267.9
58,Eve Davis,,2.0,777.2,South,2022-08-14,26.09,3.7,1496.89
59,Xavier Moore,Keyboard,4.0,1207.53,West,2024-08-09,23.67,5.7,4554.8
60,Rachel Rodriguez,Keyboard,8.0,992.45,West,2020-06-27,17.3,18.1,
61,Xavier Jackson,,7.0,1067.85,,2023-07-27,7.54,,6129.46
62,Noah Jackson,Monitor,9.0,1203.9,,2025-04-21,,,9101.48
63,Mia Lopez,Keyboard,,1340.51,West,2024-04-10,,17.3,8868.81
64,Henry Jones,,,540.09,East,2024-04-30,49.99,13.6,2333.19
65,Quinn Thomas,Tablet,,,South,2021-09-15,49.85,6.3,1114.28
66,Charlie Johnson,Tablet,5.0,186.27,West,2025-07-21,29.99,8.6,851.25
67,Diana Jones,Phone,8.0,888.51,South,2020-05-31,39.6,4.5,6788.22
68,,Monitor,9.0,102.12,East,2021-06-01,47.51,22.7,710.45
69,Zack Wilson,,9.0,725.12,East,2025-08-19,43.23,14.6,5573.27
70,Tina Williams,,1.0,836.83,,2023-09-21,16.13,,753.15
71,,Mouse,,,East,2021-02-15,25.27,11.6,
72,Tina Anderson,,7.0,906.71,East,2024-12-08,10.81,23.7,4842.74
73,Quinn Rodriguez,,9.0,94.23,,2021-02-12,47.93,,815.84
74,Rachel Smith,Monitor,8.0,104.15,South,,32.28,,
75,Victor Brown,,1.0,1242.77,,,,12.6,1086.18
76,Victor Moore,Mouse,8.0,572.28,South,2020-03-03,35.23,,3877.77
77,Yara Rodriguez,Phone,8.0,234.24,West,2021-08-13,32.82,,1864.55
78,Yara Hernandez,Keyboard,,,West,2024-08-06,991.2453796405979,,1893.81
79,Diana Martinez,Monitor,1.0,1166.49,South,2021-09-24,10.11,,894.7
80,Noah Garcia,Mouse,,362.94,West,2020-11-02,,14.1,
81,Olivia Smith,Phone,3.0,953.19,,,,17.4,2362.0
82,Xavier Rodriguez,Mouse,3.0,173.75,West,2022-12-21,39.75,23.1,400.84
83,Quinn Garcia,,,124.94,North,2023-10-18,28.41,,102.83
84,Quinn Brown,Tablet,5.0,820.46,North,2024-06-16,43.35,3.8,3946.41
85,Uma Martinez,Keyboard,,833.92,East,2020-11-24,29.84,14.4,4996.85
86,Uma Taylor,,9.0,974.27,South,2023-09-07,30.24,15.2,7435.63
87,Tina Miller,Mouse,,1102.83,West,2025-12-25,44.45,10.6,6901.51
88,Eve Lopez,Keyboard,,1464.99,South,2024-04-05,23.16,,10758.89
89,Yara Garcia,Tablet,,,East,2023-07-21,11.03,23.4,
90,,Laptop,,518.29,East,2025-06-21,6.3,,
91,Alice Martin,,1.0,1203.02,West,2026-01-25,38.98,11.3,
92,Kelly Thomas,,7.0,,East,2020-05-27,32.91,2.8,3012.2
93,Alice Brown,Tablet,7.0,686.51,West,2020-10-07,,24.6,3623.4
94,,Phone,8.0,,East,,14.58,21.0,
95,Henry Johnson,,5.0,86.76,,2023-03-23,11.14,,
96,Henry Jackson,Phone,,,,2022-07-20,5.65,,3339.89
97,Charlie Williams,Laptop,8.0,1262.17,East,,20.78,21.7,7906.23
98,Xavier Thomas,Laptop,6.0,1059.16,East,2024-11-12,31.55,13.0,
99,Charlie Moore,,3.0,642.98,East,2021-02-07,22.65,,1643.46
100,Yara Jones,Monitor,1.0,301.28,South,2021-02-15,,,
